subj,pred,obj,alpha,beta,confidence,original_confidence,uncertainty,color,step
Fever,is_symptom_of,Influenza,2.06,0.94,0.6866666666666666,0.78,0.053788888888888886,#728C00,0
Cough,is_symptom_of,Influenza,2.848407643312102,1.3299363057324842,0.6817073170731707,0.72,0.04190190011656213,#738B00,1
Fatigue,is_symptom_of,Influenza,3.8347368421052628,1.3757894736842107,0.7359595959595959,0.83,0.03128930773234831,#609E00,2
Influenza,treated_with,Oseltamivir,2.6006547155105224,0.6581137957911145,0.7980483138005262,0.93,0.03784361657905758,#49B500,3
Body Aches,is_symptom_of,Influenza,4.4238745387453875,1.886088560885609,0.701093567251462,0.69,0.02866791177381734,#6C9200,4
Shortness of Breath,is_symptom_of,Pneumonia,5.28,1.72,0.7542857142857143,0.88,0.02316734693877551,#59A500,5
Chest Pain,is_symptom_of,Pneumonia,5.451974921630095,2.786269592476489,0.6617884322678844,0.47,0.024228034107835694,#7B8300,6
Fever,is_symptom_of,Pneumonia,6.629590583418628,2.6856601842374612,0.7116921217448633,0.76,0.0198915615541339,#699500,7
Pneumonia,treated_with,Antibiotics,3.426082474226804,0.7674147501982552,0.8169988653555219,0.91,0.028788254407869286,#42BC00,8
Pneumonia,caused_by,Bacterial Infection,2.3488389513108614,0.9058426966292137,0.7216800920598389,0.82,0.047208687606883064,#659900,9
Headache,is_symptom_of,Migraine,7.41,2.59,0.741,0.89,0.01744718181818182,#5EA000,10
Nausea,is_symptom_of,Migraine,7.4400938967136145,3.8040375586854465,0.661686847599165,0.41,0.018282829135645582,#7B8300,11
Light Sensitivity,is_symptom_of,Migraine,8.356451612903225,3.7725806451612907,0.6889627659574468,0.67,0.016322076819491514,#718D00,12
Migraine,treated_with,Triptans,4.318700882117081,0.8320609462710504,0.838458664175619,0.92,0.022020968527723103,#3AC400,13
Fatigue,is_symptom_of,Anemia,8.79260663507109,4.415924170616114,0.6656763545030498,0.54,0.015663220117698575,#798500,14
Pale Skin,is_symptom_of,Anemia,8.86953642384106,5.1569536423841065,0.6323418319169027,0.36,0.015471719510029359,#857900,15
Dizziness,is_symptom_of,Anemia,9.34067415730337,5.61438202247191,0.6245830202854996,0.43,0.014696223467628389,#887600,16
Anemia,caused_by,Iron Deficiency,3.0099915469146237,0.9325274725274726,0.7634691252144082,0.87,0.036536838674449554,#56A800,17
Anemia,treated_with,Iron Supplements,5.21,0.8426315789473684,0.8607826086956523,0.95,0.016991658776062974,#32CC00,18
Joint Pain,is_symptom_of,Rheumatoid Arthritis,10.55,5.45,0.659375,0.81,0.013211741727941177,#7C8200,19
Swelling,is_symptom_of,Rheumatoid Arthritis,11.365419968304279,5.831093502377179,0.6609142014560869,0.74,0.012315909865416487,#7B8300,20
Stiffness,is_symptom_of,Rheumatoid Arthritis,12.018952879581152,6.211413612565445,0.6592820218265364,0.69,0.01168096497872706,#7C8200,21
Rheumatoid Arthritis,treated_with,NSAIDs,5.504756671899529,1.7275824175824177,0.761130887779466,0.58,0.022084933270034815,#57A700,22
Rheumatoid Arthritis,treated_with,DMARDs,6.776599241466498,1.430733249051833,0.8256762168823167,0.9,0.015632649511185332,#3FBF00,23
Fever,is_symptom_of,COVID-19,13.040188679245283,6.18622641509434,0.678243375858685,0.84,0.010789321683780296,#758900,24
Cough,is_symptom_of,COVID-19,13.859756097560975,6.4817073170731705,0.6813549160671463,0.79,0.0101731727670279,#748A00,25
Fatigue,is_symptom_of,COVID-19,14.384,7.016,0.6721495327102804,0.66,0.00983770260659072,#778700,26
Loss of Smell,is_symptom_of,COVID-19,15.549773260359657,6.697294761532447,0.6989583186898152,0.93,0.009051274217719436,#6D9100,27
COVID-19,treated_with,Nirmatrelvir,7.714759556103576,1.5861035758323059,0.8294670555481903,0.88,0.013732000658261545,#3EC000,28
COVID-19,caused_by,Viral Infection,4.400204081632653,0.926326530612245,0.8260919540229884,0.95,0.022708186575974156,#3FBF00,29
Sore Throat,is_symptom_of,Strep Throat,15.75,7.25,0.6847826086956522,0.68,0.008993974480151228,#728C00,30
Fever,is_symptom_of,Strep Throat,16.827220543806646,7.547401812688823,0.6903582052553296,0.74,0.00842431271247077,#708E00,31
