Subject,Predicate,Object,Confidence
COVID_19,caused_by,Viral_Infection,0.95
COVID_19,treated_with,Nirmatrelvir,0.88
Loss_of_Smell,is_symptom_of,COVID_19,0.93
Fatigue,is_symptom_of,COVID_19,0.66
Cough,is_symptom_of,COVID_19,0.79
Fever,is_symptom_of,COVID_19,0.84
Anemia,treated_with,Iron_Supplements,0.95
Anemia,caused_by,Iron_Deficiency,0.87
Dizziness,is_symptom_of,Anemia,0.43
Pale_Skin,is_symptom_of,Anemia,0.36
Fatigue,is_symptom_of,Anemia,0.54
Migraine,treated_with,Triptans,0.92
Light_Sensitivity,is_symptom_of,Migraine,0.67
Nausea,is_symptom_of,Migraine,0.41
Headache,is_symptom_of,Migraine,0.89
Pneumonia,caused_by,Bacterial_Infection,0.82
Pneumonia,treated_with,Antibiotics,0.91
Fever,is_symptom_of,Pneumonia,0.76
Chest_Pain,is_symptom_of,Pneumonia,0.47
Shortness_of_Breath,is_symptom_of,Pneumonia,0.88
Influenza,caused_by,Viral_Infection,0.91
Influenza,treated_with,Oseltamivir,0.93
Fatigue,is_symptom_of,Influenza,0.83
Cough,is_symptom_of,Influenza,0.72
Fever,is_symptom_of,Influenza,0.78
