Subject,Predicate,Object,Confidence
Dizziness,is_symptom_of,Anemia,0.43
Light_Sensitivity,is_symptom_of,Migraine,0.67
Pneumonia,caused_by,Bacterial_Infection,0.82
Fever,is_symptom_of,COVID_19,0.84
Anemia,treated_with,Iron_Supplements,0.95
Chest_Pain,is_symptom_of,Pneumonia,0.47
Shortness_of_Breath,is_symptom_of,Pneumonia,0.88
Headache,is_symptom_of,Migraine,0.89
Pale_Skin,is_symptom_of,Anemia,0.36
Fatigue,is_symptom_of,COVID_19,0.66
Nausea,is_symptom_of,Migraine,0.41
Anemia,caused_by,Iron_Deficiency,0.87
Cough,is_symptom_of,Influenza,0.72
Fatigue,is_symptom_of,Anemia,0.54
Loss_of_Smell,is_symptom_of,COVID_19,0.93
Migraine,treated_with,Triptans,0.92
Fatigue,is_symptom_of,Influenza,0.83
COVID_19,treated_with,Nirmatrelvir,0.88
Influenza,caused_by,Viral_Infection,0.91
COVID_19,caused_by,Viral_Infection,0.95
Fever,is_symptom_of,Pneumonia,0.76
Pneumonia,treated_with,Antibiotics,0.91
Fever,is_symptom_of,Influenza,0.78
Influenza,treated_with,Oseltamivir,0.93
Cough,is_symptom_of,COVID_19,0.79
