name,alpha,beta,reliability,color,size
Fever,1.28,0.72,0.64,#81D7B7,22.8
Influenza,1.28,0.72,0.64,#81D7B7,22.8
Cough,1.22,0.78,0.61,#8CD4C6,22.2
Fatigue,1.33,0.67,0.665,#78DAAA,23.3
Oseltamivir,1.4300000000000002,0.57,0.7150000000000001,#66DF91,24.3
Body Aches,1.19,0.81,0.595,#91D2CE,21.9
Shortness of Breath,1.38,0.62,0.69,#6FDC9E,23.799999999999997
Pneumonia,1.38,0.62,0.69,#6FDC9E,23.799999999999997
Chest Pain,0.97,1.03,0.485,#B6C2F7,19.7
Antibiotics,1.4100000000000001,0.59,0.7050000000000001,#6ADE96,24.1
Bacterial Infection,1.3199999999999998,0.68,0.6599999999999999,#7AD9AD,23.2
Headache,1.3900000000000001,0.61,0.6950000000000001,#6DDD9B,23.900000000000002
Migraine,1.3900000000000001,0.61,0.6950000000000001,#6DDD9B,23.900000000000002
Nausea,0.9099999999999999,1.09,0.45499999999999996,#BAB5E8,19.1
Light Sensitivity,1.17,0.83,0.585,#95D1D3,21.7
Triptans,1.42,0.58,0.71,#68DF93,24.2
Anemia,1.04,0.96,0.52,#ACCAF4,20.4
Pale Skin,0.86,1.1400000000000001,0.43,#BEACDB,18.6
Dizziness,0.9299999999999999,1.07,0.46499999999999997,#B9BAED,19.299999999999997
Iron Deficiency,1.37,0.63,0.685,#71DCA0,23.700000000000003
Iron Supplements,1.45,0.55,0.725,#63E08C,24.5
Joint Pain,1.31,0.69,0.655,#7CD9AF,23.1
Rheumatoid Arthritis,1.31,0.69,0.655,#7CD9AF,23.1
Swelling,1.24,0.76,0.62,#88D5C1,22.4
Stiffness,1.19,0.81,0.595,#91D2CE,21.9
NSAIDs,1.08,0.92,0.54,#A5CCEA,20.8
DMARDs,1.4,0.6,0.7,#6CDE99,24.0
COVID-19,1.3399999999999999,0.66,0.6699999999999999,#76DAA8,23.4
Loss of Smell,1.4300000000000002,0.57,0.7150000000000001,#66DF91,24.3
Nirmatrelvir,1.38,0.62,0.69,#6FDC9E,23.799999999999997
Viral Infection,1.45,0.55,0.725,#63E08C,24.5
Sore Throat,1.1800000000000002,0.82,0.5900000000000001,#93D1D1,21.8
Strep Throat,1.1800000000000002,0.82,0.5900000000000001,#93D1D1,21.8
Penicillin,1.42,0.58,0.71,#68DF93,24.2
Sneezing,1.21,0.79,0.605,#8ED3C9,22.1
Seasonal Allergies,1.21,0.79,0.605,#8ED3C9,22.1
Itchy Eyes,0.8200000000000001,1.18,0.41000000000000003,#C1A4D1,18.200000000000003
Runny Nose,1.27,0.73,0.635,#83D6BA,22.7
Antihistamines,1.3900000000000001,0.61,0.6950000000000001,#6DDD9B,23.900000000000002
Wheezing,1.35,0.65,0.675,#74DBA5,23.5
Asthma,1.35,0.65,0.675,#74DBA5,23.5
Inhaled Corticosteroids,1.44,0.56,0.72,#64E08E,24.4
Chest Tightness,1.23,0.77,0.615,#8AD4C4,22.3
Food Poisoning,0.94,1.06,0.47,#B8BCEF,19.4
Vomiting,1.3199999999999998,0.68,0.6599999999999999,#7AD9AD,23.2
Abdominal Pain,1.29,0.71,0.645,#7FD7B5,22.9
Bacterial Contamination,1.0,1.0,0.5,#B4C8FF,20.0
Fluid Replacement,1.4100000000000001,0.59,0.7050000000000001,#6ADE96,24.1
Dehydration,0.98,1.02,0.49,#B5C4F9,19.8
Dark Urine,0.8400000000000001,1.16,0.42000000000000004,#C0A8D6,18.4
Oral Rehydration Salts,1.4,0.6,0.7,#6CDE99,24.0
Chronic Fatigue Syndrome,1.22,0.78,0.61,#8CD4C6,22.2
Muscle Pain,1.13,0.87,0.565,#9CCFDD,21.299999999999997
Poor Sleep,1.06,0.94,0.53,#A9CBEF,20.6
CBT Therapy,1.21,0.79,0.605,#8ED3C9,22.1
High Blood Pressure,1.33,0.67,0.665,#78DAAA,23.3
Hypertension,1.33,0.67,0.665,#78DAAA,23.3
ACE Inhibitors,1.4300000000000002,0.57,0.7150000000000001,#66DF91,24.3
Stress,1.08,0.92,0.54,#A5CCEA,20.8
Heart Disease,1.29,0.71,0.645,#7FD7B5,22.9
Beta Blockers,1.42,0.58,0.71,#68DF93,24.2
Rash,1.1800000000000002,0.82,0.5900000000000001,#93D1D1,21.8
Lyme Disease,1.1800000000000002,0.82,0.5900000000000001,#93D1D1,21.8
Tick Bite,1.45,0.55,0.725,#63E08C,24.5
Doxycycline,1.4100000000000001,0.59,0.7050000000000001,#6ADE96,24.1
IBS,1.1099999999999999,0.89,0.5549999999999999,#A0CEE2,21.099999999999998
Bloating,0.99,1.01,0.495,#B4C6FC,19.9
Low FODMAP Diet,1.35,0.65,0.675,#74DBA5,23.5
Bronchitis,1.27,0.73,0.635,#83D6BA,22.7
Cough Suppressants,1.22,0.78,0.61,#8CD4C6,22.2
Kidney Pain,1.24,0.76,0.62,#88D5C1,22.4
Chronic Kidney Disease,1.24,0.76,0.62,#88D5C1,22.4
Dialysis,1.44,0.56,0.72,#64E08E,24.4
Ulcer,0.86,1.1400000000000001,0.43,#BEACDB,18.6
Stomach Burning,1.33,0.67,0.665,#78DAAA,23.3
H. Pylori Infection,1.42,0.58,0.71,#68DF93,24.2
Proton Pump Inhibitors,1.3900000000000001,0.61,0.6950000000000001,#6DDD9B,23.900000000000002
Common Cold,1.23,0.77,0.615,#8AD4C4,22.3
Rest,1.3399999999999999,0.66,0.6699999999999999,#76DAA8,23.4
Mononucleosis,1.31,0.69,0.655,#7CD9AF,23.1
Swollen Lymph Nodes,1.28,0.72,0.64,#81D7B7,22.8
Fluids,1.3599999999999999,0.64,0.6799999999999999,#73DBA3,23.599999999999998
Air Pollution Exposure,0.9199999999999999,1.08,0.45999999999999996,#BAB8EA,19.2
Environmental Factors,1.22,0.78,0.61,#8CD4C6,22.2
